,sqft,url,price,locality,postalCode,Type,Year built,Heating,Cooling,Parking,Price/sqft,beds,baths,timeOnZillow,views,saves,zestimate,rentalZestimate,ele_rating,ele_dist,mid_rating,mid_dist,high_rating,high_dist,original_city
0,1105,https://www.zillow.com/homedetails/5462-Mayland-Ave-San-Jose-CA-95138/19809588_zpid/,798000.0,San Jose,95138,Single Family,1979,"Forced air, Gas",None,0,722,3,2.0,3.0,1764,92,839041,3300,6,1.3,6,1.9,6,1.5,san-jose-ca
1,1546,https://www.zillow.com/homedetails/251-Omira-Dr-San-Jose-CA-95123/19828058_zpid/,949000.0,San Jose,95123,Single Family,1963,"Forced air, Gas",Central,0,614,3,3.0,2.0,1273,87,991555,3600,4,0.3,6,2.2,6,0.2,san-jose-ca
2,1800,https://www.zillow.com/homedetails/242-Cheris-Dr-San-Jose-CA-95123/19826630_zpid/,879900.0,San Jose,95123,Single Family,1978,"Forced air, Gas",Central,0,489,5,3.0,3.0,1816,106,919640,3600,4,0.5,8,1.3,6,0.6,san-jose-ca
3,1088,https://www.zillow.com/homedetails/2801-El-Monte-Way-San-Jose-CA-95127/19728928_zpid/,750000.0,San Jose,95127,Single Family,1972,"Forced air, Gas",Central,0,689,3,1.0,2.0,1650,102,777777,3000,3,0.5,4,0.2,5,0.7,san-jose-ca
4,1354,https://www.zillow.com/homedetails/5510-Woodhurst-Ln-San-Jose-CA-95123/19708124_zpid/,899000.0,San Jose,95123,Single Family,1962,"Forced air, Gas",Central,0,664,3,2.0,4.0,2528,222,959573,3600,5,1.1,6,2.5,4,0.4,san-jose-ca
5,1321,https://www.zillow.com/homedetails/5895-Cadiz-Dr-San-Jose-CA-95123/19831192_zpid/,988000.0,San Jose,95123,Single Family,1971,Forced air,Central,0,748,4,2.0,1.0,751,54,969711,3800,3,0.4,6,2.2,4,1.0,san-jose-ca
6,2750,https://www.zillow.com/homedetails/2130-Dry-Creek-Rd-San-Jose-CA-95124/19688888_zpid/,4998888.0,San Jose,95124,Single Family,1935,"Forced air, Gas",Central,0,1818,4,3.0,1.0,372,11,2358512,5054,8,0.5,5,1.2,7,1.2,san-jose-ca
7,1720,https://www.zillow.com/homedetails/6163-Cottle-Rd-San-Jose-CA-95123/19824212_zpid/,875000.0,San Jose,95123,Single Family,1972,"Forced air, Gas",Central,0,509,4,2.0,1.0,1453,117,1059298,3700,6,0.4,6,1.0,9,1.5,san-jose-ca
8,1568,https://www.zillow.com/homedetails/2121-Barrett-Ave-San-Jose-CA-95124/19677820_zpid/,1599000.0,San Jose,95124,Single Family,1961,"Forced air, Gas",Central,0,1020,3,2.0,2.0,835,50,1706737,3875,9,0.8,9,0.8,9,1.2,san-jose-ca
9,1517,https://www.zillow.com/homedetails/3286-Desertwood-Ln-San-Jose-CA-95132/19485809_zpid/,1098000.0,San Jose,95132,Single Family,1964,Forced air,Central,0,724,4,2.0,2.0,1019,56,1165550,3700,7,0.4,6,0.4,6,2.9,san-jose-ca
10,1583,https://www.zillow.com/homedetails/2082-Bel-Air-Ave-San-Jose-CA-95128/19583631_zpid/,1199000.0,San Jose,95128,Single Family,1955,"Forced air, Gas",Central,0,757,3,2.0,1.0,394,22,1228403,3600,4,0.7,3,0.9,6,0.8,san-jose-ca
11,3937,https://www.zillow.com/homedetails/2498-Westgate-Ave-San-Jose-CA-95125/19687679_zpid/,3485000.0,San Jose,95125,Single Family,2008,"Forced air, Gas",Central,0,885,5,5.0,1.0,483,24,3132749,6218,5,0.2,5,0.6,7,0.6,san-jose-ca
12,1510,https://www.zillow.com/homedetails/5958-Chesbro-Ave-San-Jose-CA-95123/19819081_zpid/,899000.0,San Jose,95123,Single Family,1966,Forced air,Central,0,595,4,2.0,3.0,1646,71,960534,3700,3,0.8,6,2.5,4,1.3,san-jose-ca
13,1883,https://www.zillow.com/homedetails/547-Gettysburg-Dr-San-Jose-CA-95123/19820083_zpid/,1099000.0,San Jose,95123,Single Family,1968,"Forced air, Gas",Central,0,584,4,2.0,1.0,453,53,1049695,3800,6,0.1,8,0.5,9,1.0,san-jose-ca
14,1170,https://www.zillow.com/homedetails/4744-Mendoza-Ave-San-Jose-CA-95111/19814187_zpid/,820000.0,San Jose,95111,Single Family,1967,"Forced air, Gas",Central,0,701,3,2.0,3.0,1577,84,860352,3300,3,0.6,4,0.4,5,1.5,san-jose-ca
15,2495,https://www.zillow.com/homedetails/6347-Sponson-Ln-San-Jose-CA-95123/81856858_zpid/,1400000.0,San Jose,95123,Single Family,1971,"Forced air, Gas",Central,0,561,5,4.0,1.0,439,25,1039449,4000,6,0.3,6,0.9,9,1.5,san-jose-ca
16,1784,https://www.zillow.com/homedetails/1519-Husted-Ave-San-Jose-CA-95125/19686989_zpid/,1598000.0,San Jose,95125,Single Family,1951,Forced air,Central,0,896,4,3.0,1.0,488,28,1570454,4100,5,0.6,5,0.5,7,0.6,san-jose-ca
17,1199,https://www.zillow.com/homedetails/2317-Mabury-Rd-San-Jose-CA-95133/19571152_zpid/,649888.0,San Jose,95133,Townhouse,1976,"Forced air, Gas",None,0,542,3,2.0,3.0,1178,89,677831,3049,7,1.1,5,1.4,6,0.4,san-jose-ca
18,1530,https://www.zillow.com/homedetails/815-S-Monroe-St-San-Jose-CA-95128/19586622_zpid/,1330000.0,San Jose,95128,Single Family,1953,"Forced air, Gas",Central,0,869,3,1.0,1.0,170,4,1320142,3700,5,1.0,4,0.3,6,1.1,san-jose-ca
19,1102,https://www.zillow.com/homedetails/1071-Ribisi-Cir-San-Jose-CA-95131/19566253_zpid/,699000.0,San Jose,95131,Townhouse,1971,Forced air,Central,0,634,3,2.0,2.0,667,57,727030,2850,8,0.2,6,2.0,6,0.9,san-jose-ca
20,2353,https://www.zillow.com/homedetails/1187-Malone-Rd-San-Jose-CA-95125/19685464_zpid/,2295000.0,San Jose,95125,Single Family,2020,"None, Forced air",Central,0,975,4,3.0,1.0,249,11,1241636,3100,8,0.9,5,0.3,7,0.2,san-jose-ca
21,1586,https://www.zillow.com/homedetails/3357-Mount-Vista-Dr-San-Jose-CA-95127/19786044_zpid/,888000.0,San Jose,95127,Single Family,1960,"None, Forced air",Central,0,560,4,3.0,1.0,705,37,577769,3175,4,0.2,3,0.6,5,0.6,san-jose-ca
22,1746,https://www.zillow.com/homedetails/1967-Coastland-Ave-San-Jose-CA-95125/19686471_zpid/,1450000.0,San Jose,95125,Single Family,1949,"Forced air, Gas",Central,0,830,3,3.0,1.0,498,33,1449715,4100,8,1.5,5,0.8,7,0.8,san-jose-ca
23,1346,https://www.zillow.com/homedetails/1544-Jacob-Ave-San-Jose-CA-95118/19697924_zpid/,1098888.0,San Jose,95118,Single Family,1963,"Forced air, Gas",Central,0,816,3,2.0,2.0,994,57,1171090,3650,7,0.1,5,0.9,8,1.3,san-jose-ca
24,2302,https://www.zillow.com/homedetails/1136-Willow-Glen-Way-San-Jose-CA-95125/19681386_zpid/,1899000.0,San Jose,95125,Single Family,1940,"Forced air, Gas",Central,0,825,4,3.0,2.0,1295,99,1950559,4500,5,0.2,5,0.6,7,0.5,san-jose-ca
25,1584,https://www.zillow.com/homedetails/2027-Lynwood-Ter-San-Jose-CA-95128/19583564_zpid/,1398000.0,San Jose,95128,Single Family,1951,"Forced air, Gas",None,0,883,4,2.0,1.0,163,3,1450175,3900,4,0.7,3,0.8,6,0.8,san-jose-ca
26,2528,https://www.zillow.com/homedetails/4766-Bannock-Cir-San-Jose-CA-95130/19661326_zpid/,1998000.0,San Jose,95130,Single Family,1961,"Forced air, Gas",Central,0,790,5,3.0,1.0,285,17,2089727,5000,9,0.1,8,0.6,8,0.3,san-jose-ca
