sqft,url,price,locality,postalCode,Type,Year built,Heating,Cooling,Parking,Price/sqft,beds,baths,timeOnZillow,views,saves,zestimate,rentalZestimate,ele_rating,ele_dist,mid_rating,mid_dist,high_rating,high_dist,original_city
"1,105",https://www.zillow.com/homedetails/5462-Mayland-Ave-San-Jose-CA-95138/19809588_zpid/,"$798,000",San Jose,95138,Single Family,1979,"Forced air, Gas",None,0,$722,3,2.0,3 days,"1,764",92,"$839,041","$3,300/mo",6,1.3 mi,6,1.9 mi,6,1.5 mi,san-jose-ca
"1,546",https://www.zillow.com/homedetails/251-Omira-Dr-San-Jose-CA-95123/19828058_zpid/,"$949,000",San Jose,95123,Single Family,1963,"Forced air, Gas",Central,0,$614,3,3.0,2 days,"1,273",87,"$991,555","$3,600/mo",4,0.3 mi,6,2.2 mi,6,0.2 mi,san-jose-ca
"1,800",https://www.zillow.com/homedetails/242-Cheris-Dr-San-Jose-CA-95123/19826630_zpid/,"$879,900",San Jose,95123,Single Family,1978,"Forced air, Gas",Central,0,$489,5,3.0,3 days,"1,816",106,"$919,640","$3,600/mo",4,0.5 mi,8,1.3 mi,6,0.6 mi,san-jose-ca
"1,088",https://www.zillow.com/homedetails/2801-El-Monte-Way-San-Jose-CA-95127/19728928_zpid/,"$750,000",San Jose,95127,Single Family,1972,"Forced air, Gas",Central,0,$689,3,1.0,2 days,"1,650",102,"$777,777","$3,000/mo",3,0.5 mi,4,0.2 mi,5,0.7 mi,san-jose-ca
"1,354",https://www.zillow.com/homedetails/5510-Woodhurst-Ln-San-Jose-CA-95123/19708124_zpid/,"$899,000",San Jose,95123,Single Family,1962,"Forced air, Gas",Central,0,$664,3,2.0,4 days,"2,528",222,"$959,573","$3,600/mo",5,1.1 mi,6,2.5 mi,4,0.4 mi,san-jose-ca
"1,321",https://www.zillow.com/homedetails/5895-Cadiz-Dr-San-Jose-CA-95123/19831192_zpid/,"$988,000",San Jose,95123,Single Family,1971,Forced air,No Data,0,$748,4,2.0,1 day,751,54,"$969,711","$3,800/mo",3,0.4 mi,6,2.2 mi,4,1 mi,san-jose-ca
"2,750",https://www.zillow.com/homedetails/2130-Dry-Creek-Rd-San-Jose-CA-95124/19688888_zpid/,"$4,998,888",San Jose,95124,Single Family,1935,"Forced air, Gas",Central,0,"$1,818",4,3.0,1 day,372,11,"$2,358,512","$5,054/mo",8,0.5 mi,5,1.2 mi,7,1.2 mi,san-jose-ca
"1,720",https://www.zillow.com/homedetails/6163-Cottle-Rd-San-Jose-CA-95123/19824212_zpid/,"$875,000",San Jose,95123,Single Family,1972,"Forced air, Gas",Central,0,$509,4,2.0,1 day,"1,453",117,"$1,059,298","$3,700/mo",6,0.4 mi,6,1 mi,9,1.5 mi,san-jose-ca
"1,568",https://www.zillow.com/homedetails/2121-Barrett-Ave-San-Jose-CA-95124/19677820_zpid/,"$1,599,000",San Jose,95124,Single Family,1961,"Forced air, Gas",Central,0,"$1,020",3,2.0,2 days,835,50,"$1,706,737","$3,875/mo",9,0.8 mi,9,0.8 mi,9,1.2 mi,san-jose-ca
"1,517",https://www.zillow.com/homedetails/3286-Desertwood-Ln-San-Jose-CA-95132/19485809_zpid/,"$1,098,000",San Jose,95132,Single Family,1964,Forced air,No Data,0,$724,4,2.0,2 days,"1,019",56,"$1,165,550","$3,700/mo",7,0.4 mi,6,0.4 mi,6,2.9 mi,san-jose-ca
"1,583",https://www.zillow.com/homedetails/2082-Bel-Air-Ave-San-Jose-CA-95128/19583631_zpid/,"$1,199,000",San Jose,95128,Single Family,1955,"Forced air, Gas",Central,0,$757,3,2.0,1 day,394,22,"$1,228,403","$3,600/mo",4,0.7 mi,3,0.9 mi,6,0.8 mi,san-jose-ca
"3,937",https://www.zillow.com/homedetails/2498-Westgate-Ave-San-Jose-CA-95125/19687679_zpid/,"$3,485,000",San Jose,95125,Single Family,2008,"Forced air, Gas",Central,0,$885,5,5.0,1 day,483,24,"$3,132,749","$6,218/mo",5,0.2 mi,5,0.6 mi,7,0.6 mi,san-jose-ca
"1,510",https://www.zillow.com/homedetails/5958-Chesbro-Ave-San-Jose-CA-95123/19819081_zpid/,"$899,000",San Jose,95123,Single Family,1966,Forced air,Central,0,$595,4,2.0,3 days,"1,646",71,"$960,534","$3,700/mo",3,0.8 mi,6,2.5 mi,4,1.3 mi,san-jose-ca
